no,건축년도,보증금.만원.,거래금액.만원.,전세가율,주택유형,본번,부번,층,도로명,단지명,전용면적,시군구,법정동,지번,주택인허가_단순,계약유형,임대구분,편차,전용면적_그룹,평균 전세가율,위도,경도,위험확률,위험등급
1,2019,30620,42100,72.73159145,아파트,1,10,9,송정로104번길 21,비바체하임,62.68,수원시 장안구,정자동,'1-10,미상,갱신,불명확,11.60285096,대형,61.12874049,37.29460929,127.0093081,53.46647852,주의
2,2019,36000,43000,83.72093023,아파트,1,10,14,송정로104번길 21,비바체하임,62.68,수원시 장안구,정자동,'1-10,미상,갱신,불명확,22.59218974,대형,61.12874049,37.29460929,127.0093081,57.92041826,주의
3,2019,29000,41500,69.87951807,아파트,1,10,17,송정로104번길 21,비바체하임,65.1,수원시 장안구,정자동,'1-10,미상,갱신,불명확,8.750777579,대형,61.12874049,37.29460929,127.0093081,53.39126736,주의
4,2019,31666.66667,43300,73.13317937,아파트,1,10,19,송정로104번길 21,비바체하임,62.68,수원시 장안구,정자동,'1-10,미상,갱신,불명확,12.00443888,대형,61.12874049,37.29460929,127.0093081,53.47706868,주의
5,1997,21666.66667,32000,67.70833333,아파트,4,20,1,광교산로 148,신미주,84.89,수원시 장안구,연무동,'4-20,미상,신규,불명확,-2.961098589,대형,70.66943192,37.30042279,127.0315994,51.50211204,안전
6,1997,17000,25000,68,아파트,4,20,2,광교산로 148,신미주,59.94,수원시 장안구,연무동,'4-20,미상,신규,불명확,-7.350828317,중형,75.35082832,37.30042279,127.0315994,52.57220221,주의
7,1997,29000,34125,84.98168498,아파트,4,20,2,광교산로 148,신미주,84.89,수원시 장안구,연무동,'4-20,미상,신규,불명확,14.31225306,대형,70.66943192,37.30042279,127.0315994,56.26557212,주의
8,1997,25666.66667,40250,63.76811594,아파트,4,20,8,광교산로 148,신미주,84.89,수원시 장안구,연무동,'4-20,미상,신규,불명확,-6.901315979,대형,70.66943192,37.30042279,127.0315994,51.39820576,안전
9,1997,22500,41500,54.21686747,아파트,4,20,11,광교산로 148,신미주,84.89,수원시 장안구,연무동,'4-20,미상,신규,불명확,-16.45256445,대형,70.66943192,37.30042279,127.0315994,48.61656918,안전
10,1997,20000,27225,73.46189164,아파트,4,20,12,광교산로 148,신미주,59.94,수원시 장안구,연무동,'4-20,미상,신규,불명확,-1.888936677,중형,75.35082832,37.30042279,127.0315994,52.71623609,주의
11,1997,21750,26650,81.61350844,아파트,4,20,13,광교산로 148,신미주,59.94,수원시 장안구,연무동,'4-20,미상,신규,불명확,6.262680123,중형,75.35082832,37.30042279,127.0315994,57.23914967,주의
12,1997,27250,34250,79.5620438,아파트,4,20,13,광교산로 148,신미주,84.89,수원시 장안구,연무동,'4-20,미상,신규,불명확,8.892611881,대형,70.66943192,37.30042279,127.0315994,53.59288888,주의
13,1997,20000,35500,56.33802817,아파트,4,20,14,광교산로 148,신미주,84.89,수원시 장안구,연무동,'4-20,미상,신규,불명확,-14.33140375,대형,70.66943192,37.30042279,127.0315994,48.67250566,안전
14,1997,22000,30000,73.33333333,아파트,4,20,19,광교산로 148,신미주,84.89,수원시 장안구,연무동,'4-20,미상,신규,불명확,2.663901411,대형,70.66943192,37.30042279,127.0315994,51.6504472,안전
15,2000,18000,23850,75.47169811,아파트,5,4,3,매송고색로 751-17,상우,59.86,수원시 권선구,고색동,'5-4,미상,신규,불명확,8.036416246,중형,67.43528186,37.25343785,126.9848021,54.59969559,주의
16,2000,19250,32200,59.7826087,아파트,5,4,9,매송고색로 751-17,상우,84.87,수원시 권선구,고색동,'5-4,미상,신규,불명확,-5.174043813,대형,64.95665251,37.25343785,126.9848021,48.8010681,안전
17,2000,20666.66667,32000,64.58333333,아파트,5,4,10,매송고색로 751-17,상우,84.87,수원시 권선구,고색동,'5-4,미상,신규,불명확,-0.373319183,대형,64.95665251,37.25343785,126.9848021,51.45743008,안전
18,2000,7000,20500,34.14634146,아파트,5,4,3,금호로 248,현대탑월드,59.4,수원시 권선구,탑동,'5-4,미상,신규,불명확,-31.72384336,중형,65.87018482,37.27539454,126.9773856,46.91790792,안전
19,2000,25000,31433.33333,79.53340403,아파트,5,4,4,금호로 248,현대탑월드,83.7,수원시 권선구,탑동,'5-4,미상,신규,불명확,9.921723051,대형,69.61168098,37.27539454,126.9773856,53.59911888,주의
20,2000,10000,19000,52.63157895,아파트,5,4,9,금호로 248,현대탑월드,59.4,수원시 권선구,탑동,'5-4,미상,신규,불명확,-13.23860587,중형,65.87018482,37.27539454,126.9773856,49.69977167,안전
21,1986,12750,17033.33333,74.85322896,아파트,7,114,1,서둔로 12,연안,44.57,수원시 권선구,고색동,'7-114,미상,신규,불명확,7.417947096,중형,67.43528186,37.253056,126.9844409,54.58338613,주의
22,1986,9000,14550,61.8556701,아파트,7,114,1,서둔로 12,연안,44.59,수원시 권선구,고색동,'7-114,미상,신규,불명확,-5.579611764,중형,67.43528186,37.253056,126.9844409,52.46244519,주의
23,1986,11000,18020,61.04328524,아파트,7,114,2,서둔로 12,연안,44.57,수원시 권선구,고색동,'7-114,미상,신규,불명확,-6.391996624,중형,67.43528186,37.253056,126.9844409,52.44102205,주의
24,1986,11150,15537.5,71.76186645,아파트,7,114,2,서둔로 12,연안,44.59,수원시 권선구,고색동,'7-114,미상,신규,불명확,4.326584586,중형,67.43528186,37.253056,126.9844409,52.72367849,주의
25,1986,12800,16338.33333,78.34336428,아파트,7,114,3,서둔로 12,연안,44.57,수원시 권선구,고색동,'7-114,미상,신규,불명확,10.90808242,중형,67.43528186,37.253056,126.9844409,54.67542341,주의
26,1986,11290,15825,71.34281201,아파트,7,114,3,서둔로 12,연안,44.59,수원시 권선구,고색동,'7-114,미상,신규,불명확,3.907530146,중형,67.43528186,37.253056,126.9844409,52.71262773,주의
27,1986,12750,16310,78.17290006,아파트,7,114,4,서둔로 12,연안,44.57,수원시 권선구,고색동,'7-114,미상,신규,불명확,10.7376182,중형,67.43528186,37.253056,126.9844409,54.67092815,주의
28,1986,11666.66667,14850,78.5634119,아파트,7,114,4,서둔로 12,연안,44.59,수원시 권선구,고색동,'7-114,미상,신규,불명확,11.12813004,중형,67.43528186,37.253056,126.9844409,54.68122623,주의
29,1986,9000,13375,67.28971963,아파트,7,114,5,서둔로 12,연안,44.59,수원시 권선구,고색동,'7-114,미상,신규,불명확,-0.145562234,중형,67.43528186,37.253056,126.9844409,52.60574487,주의
