구,아파트명,소재지도로명주소,소재지지번주소,위도,경도,세대수,동수,층수
팔달구,우만주공3단지,경기도 수원시 팔달구 창룡대로210번길 13,경기도 수원시 팔달구 우만동 301,37.29260018,127.034043,1213,6,15
장안구,백설주공2단지,경기도 수원시 장안구 대평로89번길 10,경기도 수원시 장안구 정자동 871-3,37.29621805,126.9919837,341,3,18~24
영통구,매탄주공 그린빌6단지,경기도 수원시 영통구 동탄원천로881번길 19,경기도 수원시 영통구 매탄동 1350,37.25372527,127.0422934,710,6,13~20
장안구,밤꽃마을주공,경기도 수원시 장안구 상률로12번길 28,경기도 수원시 장안구 율전동 545,37.30692204,126.9668134,389,4,22
권선구,상송마을주공,경기도 수원시 권선구 오목천로 15,경기도 수원시 권선구 오목천동 946,37.24042908,126.9639348,1185,13,10~15
권선구,호매실휴먼시아4단지,경기도 수원시 권선구 금곡로 137,경기도 수원시 권선구 금곡동 1072,37.27530097,126.9463092,980,9,10~20
권선구,호매실휴먼시아7단지,경기도 수원시 권선구 금곡로102번길 126,경기도 수원시 권선구 호매실동 1340,37.2696826,126.9426206,980,10,11~20
권선구,호매실휴먼시아8단지,경기도 수원시 권선구 금곡로140번길 29,경기도 수원시 권선구 금곡동 1095,37.27202406,126.9457173,1270,11,12~20
영통구,광교휴먼시아20단지,경기도 수원시 영통구 광교호수로 84,경기도 수원시 영통구 하동 1034,37.27601134,127.0676006,375,5,7~23
영통구,광교휴먼시아32단지,경기도 수원시 영통구 광교중앙로 247,경기도 수원시 영통구 하동 956,37.29461445,127.0655342,2289,13,20~25
권선구,호매실휴먼시아16단지,경기도 수원시 권선구 호매실로165번길 30,경기도 수원시 권선구 호매실동 1389,37.25952806,126.9549755,880,11,10~20
영통구,광교상록,경기도 수원시 영통구 법조로150번길 19,경기도 수원시 영통구 하동 992,37.29343441,127.0729953,533,6,18~26
권선구,호매실능실마을22단지,경기도 수원시 권선구 호매실로166번길 10,경기도 수원시 권선구 호매실동 1415,37.2584856,126.9580288,712,4,20~25
권선구,벨섬시티14단지,경기도 수원시 권선구 호매실로218번길 22,경기도 수원시 권선구 호매실동 1380,37.26320212,126.9580836,1300,15,25
팔달구,수원고등LH2단지(행복주택),경기도 수원시 팔달구 고등로 8,경기도 수원시 팔달구 고등동 272-50,37.27246521,126.9981453,500,2,15
영통구,수원광교 행복주택,경기도 수원시 영통구 창룡대로 250,경기도 수원시 영통구 이의동 1284,37.29488096,127.036812,204,1,12
영통구,수원광교 공공실버주택,경기도 수원시 영통구 월드컵로150번길 55,경기도 수원시 영통구 원천동 565,37.27963866,127.050003,152,1,10
영통구,수원영통 행복주택,경기도 수원시 영통구 동탄지성로470번길 34,경기도 수원시 영통구 망포동 769,37.23391249,127.0478937,100,1,5
영통구,광교원천 경기행복주택,경기도 수원시 영통구 광교중앙로 49번길 40,경기도 수원시 영통구 원천동 559,37.28050366,127.0499923,300,2,14
장안구,보훈복지타운,경기도 수원시 장안구 수일로336번길 9,경기도 수원시 장안구 조원동 476-1,37.29927799,127.0225622,452,5,8~12
팔달구,수원역푸르지오더스마트,경기도 수원시 팔달구 고등로 13,경기도 수원시 팔달구 고등동 201-60,37.27339,126.9973,285,5,15
권선구,LH수원당수1단지,경기도 수원시 권선구 당수로 130번길 13,경기도 수원시 권선구 당수동 388-19,37.28677,126.9442,1500,8,21
권선구,LH수원당수2단지,경기도 수원시 권선구 당수1로 15,경기도 수원시 금곡동 861,37.28097,126.94313,1150,6,20
