시,구,년도,월,기존인구,전입,전출,전입-전출,전입+전출,순이동률,총이동률
수원시,장안구,2024,12,282017,2448,2430,18,4878,0.006,1.73
수원시,권선구,2024,12,372813,3431,3663,-232,7094,-0.062,1.902
수원시,팔달구,2024,12,206624,2171,2299,-128,4470,-0.062,2.162
수원시,영통구,2024,12,370438,3728,3919,-191,7647,-0.052,2.064
수원시,장안구,2024,11,281956,2052,2204,-152,4256,-0.054,1.509
수원시,권선구,2024,11,373034,3057,3333,-276,6390,-0.074,1.712
수원시,팔달구,2024,11,206724,1985,2108,-123,4093,-0.059,1.98
수원시,영통구,2024,11,370490,3469,3492,-23,6961,-0.006,1.88
수원시,장안구,2024,10,282040,2297,2470,-173,4767,-0.061,1.689
수원시,권선구,2024,10,373221,3357,3993,-636,7350,-0.17,1.967
수원시,팔달구,2024,10,206753,2139,2413,-274,4552,-0.132,2.2
수원시,영통구,2024,10,370358,3638,3960,-322,7598,-0.087,2.052
수원시,장안구,2024,9,282247,2055,2224,-169,4279,-0.06,1.516
수원시,권선구,2024,9,373650,3061,3684,-623,6745,-0.166,1.802
수원시,팔달구,2024,9,206911,2079,2327,-248,4406,-0.12,2.128
수원시,영통구,2024,9,370358,3638,3960,-322,7598,-0.087,2.053
수원시,장안구,2024,8,282305,2734,2521,213,5255,0.076,1.863
수원시,권선구,2024,8,374237,3129,3456,-327,6585,-0.087,1.758
수원시,팔달구,2024,8,207038,2257,2420,-163,4677,-0.079,2.258
수원시,영통구,2024,8,370090,4016,4218,-202,8234,-0.055,2.224
수원시,장안구,2024,7,282099,2791,2501,290,5292,0.103,1.878
수원시,권선구,2024,7,374475,3408,3576,-168,6984,-0.045,1.865
수원시,팔달구,2024,7,207130,2077,2240,-163,4317,-0.079,2.082
수원시,영통구,2024,7,370226,3944,4337,-393,8281,-0.106,2.235
수원시,장안구,2024,6,281817,2415,2156,259,4571,0.092,1.623
수원시,권선구,2024,6,374520,2995,3297,-302,6292,-0.081,1.679
수원시,팔달구,2024,6,207335,1763,1870,-107,3633,-0.052,1.751
수원시,영통구,2024,6,370522,3247,3564,-317,6811,-0.086,1.837
수원시,장안구,2024,5,281600,4352,3108,1244,7460,0.444,2.662
수원시,권선구,2024,5,374766,3500,3780,-280,7280,-0.075,1.942
수원시,팔달구,2024,5,207463,2048,2246,-198,4294,-0.095,2.068
수원시,영통구,2024,5,370745,3513,4075,-562,7588,-0.151,2.045
수원시,장안구,2024,4,280236,5241,3430,1811,8671,0.667,3.193
수원시,권선구,2024,4,374936,3561,4144,-583,7705,-0.155,2.052
수원시,팔달구,2024,4,207659,2133,2606,-473,4739,-0.227,2.278
수원시,영통구,2024,4,371096,3741,4447,-706,8188,-0.19,2.204
수원시,장안구,2024,3,271526,2909,2629,280,5538,0.103,2.041
수원시,권선구,2024,3,375404,4040,4075,-35,8115,-0.009,2.162
수원시,팔달구,2024,3,208041,2334,2543,-209,4877,-0.1,2.342
수원시,영통구,2024,3,371541,4318,4331,-13,8649,-0.004,2.329
수원시,장안구,2024,2,271316,3624,3199,425,6823,0.153,2.456
수원시,권선구,2024,2,375387,4159,4567,-408,8726,-0.109,2.322
수원시,팔달구,2024,2,208230,2545,2894,-349,5439,-0.167,2.608
수원시,영통구,2024,2,371385,5652,5713,-61,11365,-0.016,3.059
수원시,장안구,2024,1,277842,3153,2963,190,6116,0.068,2.203
수원시,권선구,2024,1,375780,3845,3750,95,7595,0.025,2.022
수원시,팔달구,2024,1,208545,2524,2801,-277,5325,-0.133,2.55
수원시,영통구,2024,1,371470,5088,5205,-117,10293,-0.032,2.771
수원시,장안구,2023,12,277645,3131,2521,610,5652,0.22,2.036
수원시,권선구,2023,12,375574,3185,3493,-308,6678,-0.082,1.778
수원시,팔달구,2023,12,208791,2357,2585,-228,4942,-0.109,2.367
수원시,영통구,2023,12,371414,4019,4070,-51,8089,-0.014,2.178
수원시,장안구,2023,11,277645,3700,2760,940,6460,0.34,2.339
