시,구,동,년도,월,세대,총인구
수원시,장안구,송죽동,2024,8,8779,18485
수원시,장안구,연무동,2024,8,9492,18581
수원시,장안구,영화동,2024,8,10319,19853
수원시,장안구,율천동,2024,8,19535,42171
수원시,장안구,정자1동,2024,8,13118,33510
수원시,장안구,정자2동,2024,8,16151,39004
수원시,장안구,정자3동,2024,8,14118,39314
수원시,장안구,조원1동,2024,8,13360,28433
수원시,장안구,조원2동,2024,8,6467,17630
수원시,장안구,파장동,2024,8,11550,25324
수원시,권선구,곡선동,2024,8,17774,35363
수원시,권선구,구운동,2024,8,10606,23379
수원시,권선구,권선1동,2024,8,13959,24892
수원시,권선구,권선2동,2024,8,17095,46247
수원시,권선구,금곡동,2024,8,18520,45155
수원시,권선구,서둔동,2024,8,17944,38417
수원시,권선구,세류1동,2024,8,4451,10892
수원시,권선구,세류2동,2024,8,12409,24811
수원시,권선구,세류3동,2024,8,9012,18888
수원시,권선구,입북동,2024,8,8275,19924
수원시,권선구,평동,2024,8,17456,41571
수원시,권선구,호매실동,2024,8,17262,44698
수원시,팔달구,고등동,2024,8,9084,22003
수원시,팔달구,매교동,2024,8,9434,22566
수원시,팔달구,매산동,2024,8,5953,12200
수원시,팔달구,우만1동,2024,8,10623,19017
수원시,팔달구,우만2동,2024,8,7929,17106
수원시,팔달구,인계동,2024,8,24564,46351
수원시,팔달구,지동,2024,8,5283,10469
수원시,팔달구,행궁동,2024,8,5968,10084
수원시,팔달구,화서1동,2024,8,9758,22743
수원시,팔달구,화서2동,2024,8,9523,24499
수원시,영통구,광교1동,2024,8,22986,53687
수원시,영통구,광교2동,2024,8,11707,28808
수원시,영통구,망포1동,2024,8,11442,31735
수원시,영통구,망포2동,2024,8,11369,33704
수원시,영통구,매탄1동,2024,8,5192,13033
수원시,영통구,매탄2동,2024,8,6409,14239
수원시,영통구,매탄3동,2024,8,15636,35114
수원시,영통구,매탄4동,2024,8,9465,20225
수원시,영통구,영통1동,2024,8,12560,33456
수원시,영통구,영통2동,2024,8,13430,25721
수원시,영통구,영통3동,2024,8,14014,33140
수원시,영통구,원천동,2024,8,21175,47228
수원시,장안구,송죽동,2023,8,8855,19049
수원시,장안구,연무동,2023,8,9249,18286
수원시,장안구,영화동,2023,8,10570,20665
수원시,장안구,율천동,2023,8,19741,42782
수원시,장안구,정자1동,2023,8,10788,28036
수원시,장안구,정자2동,2023,8,15078,36553
수원시,장안구,정자3동,2023,8,14125,40075
수원시,장안구,조원1동,2023,8,13453,29057
수원시,장안구,조원2동,2023,8,6477,17876
수원시,장안구,파장동,2023,8,10566,22801
수원시,권선구,곡선동,2023,8,18120,35977
수원시,권선구,구운동,2023,8,10728,24000
수원시,권선구,권선1동,2023,8,13632,24845
수원시,권선구,권선2동,2023,8,17140,47037
수원시,권선구,금곡동,2023,8,17632,44673
수원시,권선구,서둔동,2023,8,17870,38784
수원시,권선구,세류1동,2023,8,4429,10862
수원시,권선구,세류2동,2023,8,12549,25356
수원시,권선구,세류3동,2023,8,9125,19206
수원시,권선구,입북동,2023,8,7996,19508
수원시,권선구,평동,2023,8,17333,41971
수원시,권선구,호매실동,2023,8,17269,45271
수원시,팔달구,고등동,2023,8,9626,23019
수원시,팔달구,매교동,2023,8,9337,22167
수원시,팔달구,매산동,2023,8,5886,12108
수원시,팔달구,우만1동,2023,8,10676,19553
수원시,팔달구,우만2동,2023,8,7908,17194
수원시,팔달구,인계동,2023,8,23475,43765
수원시,팔달구,지동,2023,8,5376,10863
수원시,팔달구,행궁동,2023,8,6170,10495
수원시,팔달구,화서1동,2023,8,9754,22894
수원시,팔달구,화서2동,2023,8,9408,24801
수원시,영통구,광교1동,2023,8,22455,53475
수원시,영통구,광교2동,2023,8,11643,29091
수원시,영통구,망포1동,2023,8,11477,31979
수원시,영통구,망포2동,2023,8,11344,33576
수원시,영통구,매탄1동,2023,8,5293,13191
수원시,영통구,매탄2동,2023,8,6426,14469
수원시,영통구,매탄3동,2023,8,15809,35464
수원시,영통구,매탄4동,2023,8,9498,20800
수원시,영통구,영통1동,2023,8,12504,33732
수원시,영통구,영통2동,2023,8,13459,26041
수원시,영통구,영통3동,2023,8,13817,33400
수원시,영통구,원천동,2023,8,20656,45781
수원시,장안구,송죽동,2022,8,8960,19466
수원시,장안구,연무동,2022,8,8493,16791
수원시,장안구,영화동,2022,8,10744,21214
수원시,장안구,율천동,2022,8,20168,43812
수원시,장안구,정자1동,2022,8,10912,28627
수원시,장안구,정자2동,2022,8,15248,37085
수원시,장안구,정자3동,2022,8,14229,40802
수원시,장안구,조원1동,2022,8,13518,29636
수원시,장안구,조원2동,2022,8,6500,18188
수원시,장안구,파장동,2022,8,10709,23375
수원시,권선구,곡선동,2022,8,17959,35950
수원시,권선구,구운동,2022,8,10835,24537
수원시,권선구,권선1동,2022,8,13526,25136
수원시,권선구,권선2동,2022,8,17245,47895
수원시,권선구,금곡동,2022,8,17660,45428
수원시,권선구,서둔동,2022,8,17332,38523
수원시,권선구,세류1동,2022,8,4420,11042
수원시,권선구,세류2동,2022,8,12617,25828
수원시,권선구,세류3동,2022,8,9194,19672
수원시,권선구,입북동,2022,8,6148,16334
수원시,권선구,평동,2022,8,16521,40518
수원시,권선구,호매실동,2022,8,17264,45859
수원시,팔달구,고등동,2022,8,9725,23251
수원시,팔달구,매교동,2022,8,5119,11490
수원시,팔달구,매산동,2022,8,5956,12264
수원시,팔달구,우만1동,2022,8,10842,20319
수원시,팔달구,우만2동,2022,8,7852,17372
수원시,팔달구,인계동,2022,8,22200,40574
수원시,팔달구,지동,2022,8,5467,11258
수원시,팔달구,행궁동,2022,8,6440,10980
수원시,팔달구,화서1동,2022,8,9996,23642
수원시,팔달구,화서2동,2022,8,9571,25514
수원시,영통구,광교1동,2022,8,22198,53332
수원시,영통구,광교2동,2022,8,11667,29370
수원시,영통구,망포1동,2022,8,10874,30804
수원시,영통구,망포2동,2022,8,9434,27762
수원시,영통구,매탄1동,2022,8,7505,18175
수원시,영통구,매탄2동,2022,8,6508,14829
수원시,영통구,매탄3동,2022,8,15963,36043
수원시,영통구,매탄4동,2022,8,9535,21314
수원시,영통구,영통1동,2022,8,12568,34564
수원시,영통구,영통2동,2022,8,13481,26639
수원시,영통구,영통3동,2022,8,13733,33722
수원시,영통구,원천동,2022,8,19250,41286
수원시,장안구,송죽동,2021,8,8924,19822
수원시,장안구,연무동,2021,8,8507,17064
수원시,장안구,영화동,2021,8,10731,21753
수원시,장안구,율천동,2021,8,20029,44473
수원시,장안구,정자1동,2021,8,11001,29430
수원시,장안구,정자2동,2021,8,12650,30164
수원시,장안구,정자3동,2021,8,14353,42246
수원시,장안구,조원1동,2021,8,12815,28606
수원시,장안구,조원2동,2021,8,6559,18808
수원시,장안구,파장동,2021,8,10718,23831
수원시,권선구,곡선동,2021,8,14527,27835
수원시,권선구,구운동,2021,8,10701,24928
수원시,권선구,권선1동,2021,8,13066,25251
수원시,권선구,권선2동,2021,8,17340,49082
수원시,권선구,금곡동,2021,8,17390,45840
수원시,권선구,서둔동,2021,8,17162,38985
수원시,권선구,세류1동,2021,8,4458,11413
수원시,권선구,세류2동,2021,8,12325,25770
수원시,권선구,세류3동,2021,8,9150,20070
수원시,권선구,입북동,2021,8,6186,16759
수원시,권선구,평동,2021,8,16570,41303
수원시,권선구,호매실동,2021,8,17209,46605
수원시,팔달구,고등동,2021,8,9301,22585
수원시,팔달구,매교동,2021,8,3303,6649
수원시,팔달구,매산동,2021,8,6092,12626
수원시,팔달구,우만1동,2021,8,10818,20826
수원시,팔달구,우만2동,2021,8,7640,17279
수원시,팔달구,인계동,2021,8,21793,40768
수원시,팔달구,지 동,2021,8,5713,11981
수원시,팔달구,행궁동,2021,8,6651,11458
수원시,팔달구,화서1동,2021,8,10007,24266
수원시,팔달구,화서2동,2021,8,9665,26443
수원시,영통구,광교1동,2021,8,22053,53438
수원시,영통구,광교2동,2021,8,11639,29562
수원시,영통구,망포1동,2021,8,10910,31347
수원시,영통구,망포2동,2021,8,9482,28131
수원시,영통구,매탄1동,2021,8,7710,19037
수원시,영통구,매탄2동,2021,8,6538,15332
수원시,영통구,매탄3동,2021,8,15758,36744
수원시,영통구,매탄4동,2021,8,9471,21947
수원시,영통구,영통1동,2021,8,12635,35574
수원시,영통구,영통2동,2021,8,13183,26810
수원시,영통구,영통3동,2021,8,13447,34139
수원시,영통구,원천동,2021,8,18099,39794
